@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class {0,1}
@attribute Outlier {yes,no}
@attribute ExtremeValue {yes,no}
@data
'GREENRI01',946,23271,8870,474,1345,1819,5221,1348,51,1583,1452,7669,3594,2035,1643,188,39,1,yes,yes
'GREENSI02',679,13247,5080,1300,2828,4128,635,369,220,1038,1797,4386,1993,1481,1093,27,1,0,yes,no
'GREENWI01',110,1832,801,38,160,198,153,60,11,134,204,780,298,206,156,166,49,0,yes,no
'GREERHA01',1122,39788,21586,0,0,5665,4540,0,0,0,3855,18811,8504,5717,4578,0,0,1,yes,no
'GRIFFAD01',336,5857,1480,318,799,1117,478,336,44,233,660,1385,596,311,238,172,50,0,yes,no
'GRIFFDA01',765,21403,12391,780,1739,2519,1627,931,242,1632,1689,11305,5237,1961,1387,1596,530,0,yes,yes
'GRIFFED01',220,5280,1833,286,1044,1330,192,92,363,178,373,1866,717,258,178,669,221,0,yes,yes
'GROSSBO01',513,12575,4567,940,1313,2253,1481,615,361,729,1484,3629,1857,1062,848,28,5,0,yes,no
'GRUNFER01',693,12916,5124,516,1299,1815,1419,472,134,801,1511,4328,2065,1248,961,98,33,0,yes,no
'GUERIRI01',848,27449,14676,0,0,4278,4211,0,0,0,2769,12451,5174,5549,4328,0,0,1,yes,no
'GUGLITO01',763,23558,9895,1565,4023,5588,2140,1079,492,1734,1882,8584,3871,2570,1945,732,208,1,yes,yes
'GUYTOAJ01',80,1247,442,12,68,80,147,20,12,62,58,440,166,45,37,193,73,0,yes,yes
'HAGANCL01',745,21731,13447,0,0,5116,2242,0,0,0,2388,11630,5239,3722,2969,0,0,1,yes,no
'HAIRSHA01',776,24330,11505,639,1347,8019,1268,116,28,0,2334,8872,4240,4080,3025,0,0,0,yes,no
'HANZLBI01',748,15534,5414,691,1367,2058,2058,727,205,1090,2222,4232,1836,2171,1696,216,46,0,yes,no
'HARDAAN01',684,23316,10614,898,2203,3101,3482,1104,311,1767,1531,8657,3969,2820,2181,1571,495,1,yes,yes
'HARDATI01',867,30623,15373,536,2319,2855,7095,1428,129,2481,2027,13076,5640,3263,2551,4345,1542,1,yes,yes
'HARPEDE01',1199,37783,15997,696,2189,2885,6571,1958,304,2338,2755,13379,6187,3426,2554,3023,1069,0,yes,yes
'HARPERO01',1009,31199,13910,1322,2987,4309,3916,1716,729,2251,2324,11946,5326,3799,2735,1811,523,0,yes,yes
'HARRIAL01',420,11675,4743,711,1624,2335,691,369,121,832,1324,4138,1873,1304,937,246,60,0,yes,yes
'HARRIDE01',76,1173,436,28,74,102,169,77,19,82,139,366,157,103,78,131,44,0,yes,no
'HARTJA01',138,2649,911,28,267,295,461,134,20,141,242,752,339,249,196,106,37,0,yes,no
'HASSETR01',323,8570,1970,200,786,986,584,166,189,294,781,1876,813,344,266,229,78,0,yes,yes
'HAVLIJO01',1270,46471,26395,610,1389,8007,6114,476,117,204,3281,23930,10513,6589,5369,0,0,1,yes,yes
'HAWESST01',688,15831,5768,1232,3040,4272,1288,518,314,821,1886,4836,2337,1367,1080,47,14,0,yes,no
'HAWKIHE01',983,32038,14468,825,2729,3554,2860,1622,302,1828,2044,10612,4889,3983,3464,3108,1226,1,yes,yes
'HAYESEL01',1303,50000,27313,2778,6973,16279,2398,864,1771,1358,4193,24272,10976,7999,5356,34,5,1,yes,yes
'HAYESJA01',124,3604,1226,112,379,491,196,120,20,172,264,1226,484,216,176,255,82,0,yes,yes
'HAYWOBR01',288,6544,1990,620,957,1577,158,137,424,291,755,1375,721,900,548,1,0,0,yes,no
'HAYWOSP01',760,25600,14592,1493,3228,7038,1351,355,629,716,2167,12447,5790,3766,3011,8,1,1,yes,yes
'HAZZAWA01',724,19202,9087,0,57,2146,3555,26,6,0,2027,8162,3597,2502,1893,0,0,1,yes,no
'HEARDGA01',787,19571,6828,1324,3329,5876,1220,784,780,349,2134,6877,2846,1736,1136,9,0,0,yes,yes
'HENDEAL01',563,12830,4848,1286,1719,3005,377,344,273,683,1316,4057,1886,1682,1071,26,5,0,yes,no
'HENDEGE01',871,18856,7773,526,927,1453,3141,939,99,1561,1918,6526,3079,1820,1412,611,203,0,yes,yes
'HENDETO01',650,17690,6088,384,1110,1494,3136,760,76,693,1141,5601,2426,1673,1236,9,0,0,yes,no
'HENRYCO01',93,756,305,20,63,83,102,21,6,65,71,286,108,74,56,87,33,0,yes,no
'HENSOST01',238,2282,739,46,130,176,465,88,2,175,283,631,254,145,126,243,105,0,yes,yes
'HERRECH01',70,1005,224,16,57,73,167,29,2,62,117,220,74,52,36,122,40,0,yes,no
'HIGGIRO01',779,17189,7011,946,1873,2819,1254,485,359,786,1712,5336,2483,2095,1693,1030,352,0,yes,yes
'HILLGR01',549,20833,11421,784,3307,4091,3151,832,328,1726,1370,8689,4162,4011,3036,239,61,1,yes,yes
'HILLTY01',801,22389,7532,2317,4537,6854,647,614,379,1244,2894,5643,2834,2901,1864,13,0,1,yes,yes
'HOLLILI01',673,18453,7809,382,1219,1601,3006,1053,192,1337,1841,7211,3201,1882,1394,87,13,1,yes,no
'HONEYJE01',54,633,275,30,74,104,35,25,8,58,99,253,99,68,43,94,34,0,yes,no
'HOPSODE01',334,7509,3633,421,518,939,539,319,159,548,672,3193,1375,1074,822,225,61,0,yes,yes
'HORNAJE01',1077,33964,15659,919,2727,3646,5281,1536,226,1971,2364,11957,5929,3390,2973,2055,828,1,yes,yes
'HORRYRO01',931,24178,7014,1377,3312,4689,2140,1049,923,1271,2405,5981,2580,1600,1180,1966,674,0,yes,yes
'HOUSTAL01',839,28308,14551,326,2108,2434,1990,566,139,1760,2062,12017,5337,2979,2572,3247,1305,1,yes,yes
'HOWARJO01',143,4035,1533,318,534,852,206,185,103,189,379,1325,606,370,267,181,54,0,yes,no
'HOWARJU01',791,28710,13575,1667,4088,5755,2277,687,273,2060,2641,11641,5469,3471,2631,45,6,1,yes,no
'HOWELBA01',950,30627,17770,0,0,9383,1853,0,0,0,3498,13585,6515,6224,4740,0,0,1,yes,yes
'HUBBAPH01',665,15863,7228,1502,2036,3538,857,574,89,1310,2073,5394,2672,2667,1883,26,1,0,yes,no
'HUDSOLO01',890,29794,17940,436,718,3926,2432,516,98,249,2439,15129,7392,3960,3156,0,0,1,yes,no
'HUGHEKI01',341,5719,932,569,1023,1592,319,321,382,229,976,968,435,186,62,0,0,0,yes,no
'HUMPHJA01',788,23062,8772,529,1474,2003,4339,1153,89,1533,2173,7362,3502,1981,1549,738,219,0,yes,yes
'HUNTELI01',790,21550,7469,400,1495,1895,2272,1033,154,1068,1687,7143,2785,1208,897,2735,1002,0,yes,yes
'HURLEBO01',269,4170,1032,53,230,283,880,120,7,385,360,1023,361,320,246,235,64,0,yes,yes
'IGUODAN01',82,2686,741,89,375,464,246,138,48,139,204,546,269,210,156,142,47,0,yes,no
'ILGAUZY01',413,12079,6133,1193,2003,3196,499,236,781,873,1441,4800,2257,2107,1614,30,5,1,yes,yes
'IMHOFDA01',801,17874,5759,0,0,6099,1405,0,0,0,2445,5016,2299,1954,1161,0,0,1,yes,no
'ISSELDA01',718,22342,14659,1686,4021,5707,1804,698,396,1281,2022,10711,5424,4756,3792,75,19,1,yes,no
'IVERSAL01',610,25338,16738,554,1920,2474,3643,1453,121,2291,1318,14065,5875,5454,4195,2564,793,1,yes,yes
'JACKSJI01',845,28556,12569,1139,2937,4076,2816,714,182,2144,1921,11087,4764,2638,2178,2339,863,0,yes,yes
'JACKSMA01',1296,39124,12489,1112,3851,4963,10323,1608,117,3154,2230,10731,4793,2818,2169,2213,734,1,yes,yes
'JAMESJE01',268,4074,1317,253,683,936,102,85,343,328,807,1130,557,329,203,2,0,0,yes,no
'JAMISAN01',486,17249,9321,1238,2310,3548,829,466,195,917,1151,7910,3646,2400,1742,889,287,0,yes,yes
'JEFFECH01',72,861,281,21,67,88,29,23,23,64,92,266,102,63,42,96,35,0,yes,no
'JOHNSAV01',1054,26616,8817,371,1380,1751,5846,1008,154,1748,1659,7564,3622,2190,1546,186,27,0,yes,yes
'JOHNSCL01',761,13310,4102,1276,2232,3508,744,349,715,767,1666,3454,1699,1134,704,5,0,0,yes,yes
'JOHNSDE01',1100,35954,15535,1459,2790,4249,5499,1477,675,2448,3087,13100,5832,4754,3791,464,80,1,yes,yes
'JOHNSED02',675,19975,10163,470,1052,1522,3436,761,89,1717,1706,8436,4015,2564,2029,319,104,1,yes,yes
'JOHNSED03',1199,32604,19202,1786,3046,4832,2550,739,180,2076,2962,16361,7727,3792,3186,1679,562,0,yes,yes
'JOHNSER01',827,16908,3458,1576,3547,5123,385,470,1082,719,2404,2740,1386,1131,684,10,2,0,yes,yes
'JOHNSFR01',596,12897,4937,309,716,1025,2476,570,36,1054,1116,4433,1947,1303,990,243,53,0,yes,no
'JOHNSGE01',904,18102,4369,1960,3789,5887,929,456,2082,872,2707,3995,1802,1101,764,2,1,0,yes,yes
'JOHNSGU01',560,19723,9781,0,0,7243,1510,0,0,0,1982,9202,4057,2384,1667,0,0,1,yes,no
'JOHNSJO01',869,25681,11200,1021,2121,4778,3285,487,235,917,2505,10254,4575,2633,2050,1,0,1,yes,no
'JOHNSKE01',735,25061,13127,487,1917,2404,6711,1082,175,2258,1541,9160,4512,4691,3943,524,160,1,yes,yes
'JOHNSLA01',707,25677,11450,1794,3506,5300,2298,515,258,1435,1893,9086,4401,2979,2281,1104,367,1,yes,yes
'JOHNSMA01',906,33245,17707,1601,4958,6559,10141,1724,374,3506,2050,11951,6211,5850,4960,1074,325,1,yes,yes
'JOHNSMA02',691,23694,13892,1829,2988,4817,2502,888,525,1627,1766,11065,5733,3265,2412,92,14,1,yes,no
'JOHNSMI01',904,25005,12748,2201,4264,6465,2677,1025,632,2050,3101,10544,4733,4066,3253,176,29,0,yes,yes
'JOHNSNE02',516,18298,10023,0,0,5856,1269,0,0,0,1681,7435,3303,4447,3417,0,0,1,yes,no
'JOHNSST01',626,13618,7345,1193,2257,3450,777,290,530,1477,2409,4965,2841,2622,1663,4,0,0,yes,no
'JOHNSVI01',984,24308,11825,1451,1658,3109,3212,852,253,1569,2063,10515,4882,2673,1978,327,83,0,yes,yes
'JONESBO01',774,20177,8911,1288,2968,4256,1888,1050,982,1217,2104,6199,3412,2674,2087,16,0,1,yes,yes
'JONESCA01',1068,26474,6589,2042,5621,7663,1347,480,1517,1596,3527,5395,2554,1965,1479,31,2,1,yes,yes
'JONESCH02',85,1138,296,26,78,104,135,48,10,57,76,324,105,45,28,179,58,0,yes,yes
'JONESDW01',766,16452,6230,1456,3057,4513,911,429,397,771,2077,5216,2459,1772,1311,2,1,0,yes,no
'JONESED01',768,27828,12599,633,2623,3256,2457,1395,535,1338,2086,9961,4395,3090,2508,3434,1301,1,yes,yes
'JONESED02',363,6960,3257,562,1183,1745,331,220,455,563,1164,2384,1207,1164,827,61,16,0,yes,no
'JONESJA02',81,1357,378,39,137,176,57,32,28,43,124,327,128,64,55,170,67,0,yes,yes
'JONESKC01',676,17501,5011,0,0,2399,2908,0,0,0,1816,4961,1919,1814,1173,0,0,0,yes,no
'JONESPO01',535,12579,3726,1451,2530,3981,696,300,161,603,1501,3523,1574,736,553,89,25,0,yes,no
'JONESSA01',871,24285,15411,0,0,4305,2209,0,0,0,1735,13745,6271,3572,2869,0,0,1,yes,no
'JORDAED01',420,8507,3414,216,572,788,1595,766,96,897,893,3256,1349,909,694,98,22,0,yes,no
'JORDAMI01',1072,41012,32292,1640,5032,6672,5633,2514,893,2924,2783,24537,12192,8772,7327,1778,581,1,yes,yes
'KAPONJA01',122,1920,833,51,168,219,75,53,8,67,173,800,321,109,90,238,101,0,yes,yes
'KELLERI01',814,17711,6199,1872,3806,5678,2092,694,749,1576,2613,4435,2166,2384,1867,10,0,0,yes,yes
'KEMPSH01',1051,29291,15347,2953,5881,8834,1704,1185,1279,2724,3840,11278,5505,5805,4304,119,33,1,yes,yes
'KENONLA01',503,15517,8535,1362,2580,3942,1287,675,155,1101,1078,7293,3564,1763,1406,10,1,1,yes,no
'KERRJO01',905,27784,12480,0,0,10092,2004,0,0,0,2287,11751,4909,3682,2662,0,0,1,yes,no
'KERSEJE01',1153,28115,11825,2330,4009,6339,2134,1439,799,1583,3454,10166,4723,3364,2321,288,58,0,yes,yes
'KEYSRA01',241,3318,1262,210,341,551,192,135,45,175,523,1229,522,247,178,147,40,0,yes,no
'KIDDJA01',786,29459,11617,1121,3952,5073,7283,1625,234,2606,1467,10385,4172,2958,2300,2957,973,1,yes,yes
'KINGAL01',534,12836,6470,760,1502,2262,1171,452,196,1151,1612,5875,2709,1259,996,209,56,0,yes,no
'KINGBE01',874,29417,19655,1704,3356,5060,2863,866,230,2791,2885,15109,7830,5444,3972,134,23,1,yes,yes
'KINGCH01',103,2058,693,108,203,311,116,74,34,119,183,640,271,166,105,120,46,0,yes,no
'KITEGR01',680,10080,1717,903,1704,2607,345,171,414,543,1589,1634,716,584,284,6,1,0,yes,no
'KITTLKE01',507,16927,7165,471,1512,1983,1295,811,221,621,893,6337,2779,1171,913,1838,694,0,yes,yes
'KLEINJO01',965,14712,4666,1268,2723,3991,622,261,285,777,1988,4201,1902,1069,849,48,13,0,yes,no
'KNIGHBI01',671,18412,10561,1158,1879,3037,1435,627,91,1256,1204,8026,4064,2892,2399,124,34,1,yes,no
'KNIGHBR01',467,11940,3545,202,1015,1217,3057,837,65,971,1279,3231,1355,1055,823,76,12,0,yes,no
'KOMIVHO01',742,20213,7550,10,33,1804,2941,32,3,0,2046,7652,2972,1936,1606,0,0,0,yes,no
'KONCAJO01',784,16409,3520,1064,2792,3856,785,542,790,624,2474,3073,1444,1027,613,84,19,0,yes,yes
'KUKOCTO01',781,21194,9493,965,2440,3405,2979,784,273,1478,1378,7829,3517,2431,1773,2037,686,0,yes,yes
'KUNNEKE01',555,12104,4602,1393,2638,4031,784,252,616,391,1927,4251,2022,818,558,0,0,0,yes,yes
'LACEYSA01',1002,31873,10303,1647,5226,9687,3754,999,1160,978,3473,9693,4276,2369,1748,16,3,1,yes,yes
'LAETTCH01',868,25761,11121,1582,4224,5806,2224,917,673,1932,2768,8405,4036,3604,2957,353,92,1,yes,yes
'LAIMBBI01',1068,33956,13790,2819,7581,10400,2184,710,965,1594,3633,11198,5574,2916,2440,619,202,1,yes,yes
'LANGAN01',737,15345,4433,1188,2331,3519,424,332,1099,697,2037,3786,1781,1164,866,20,5,0,yes,yes
'LANGDTR01',119,1736,647,21,138,159,152,56,14,98,179,529,220,133,121,217,86,0,yes,yes
'LANIEBO01',959,32103,19248,1843,4853,9698,3007,777,1100,1112,3048,15092,7761,4858,3724,13,2,1,yes,yes
'LARUERU01',98,1564,486,11,115,126,152,62,11,94,147,497,187,69,58,170,54,0,yes,no
'LARUSRU01',736,24487,11507,0,0,6936,1556,0,0,0,2553,9521,4102,4308,3303,0,0,1,yes,no
'LEAVEAL01',700,16248,6684,294,870,1164,3339,929,120,1324,1489,5666,2549,1733,1445,603,141,0,yes,yes
'LEECL01',742,19885,5733,640,1168,7626,788,80,64,0,2203,5223,2256,1988,1221,0,0,1,yes,no
'LEERO01',448,9586,3285,397,822,1219,1688,869,122,783,1368,3117,1296,924,651,131,42,0,yes,no
'LEVERLA01',752,23814,10433,1442,3081,4523,4696,1666,209,1471,1803,9504,4244,2312,1783,523,162,1,yes,yes
'LEVINCL01',830,16962,5888,1772,2535,4307,752,534,592,829,2299,4524,2333,1800,1217,33,5,0,yes,yes
'LEWISQU01',159,1853,567,68,142,210,96,59,36,98,335,584,232,93,66,111,37,0,yes,no
'LEWISRE01',450,14676,7902,577,1361,1938,1153,569,417,708,1268,6550,3198,1794,1479,135,27,1,yes,no
'LIBERMA01',267,4568,1942,418,507,925,244,189,73,264,495,1877,783,467,310,194,66,0,yes,yes
'LISTEAL01',953,18965,6298,1844,4152,5996,914,351,1473,1450,3179,4907,2514,2126,1269,9,1,0,yes,yes
'LIVINRA01',194,2636,773,63,214,277,410,120,31,221,289,744,304,170,131,97,34,0,yes,no
'LOHAUBR01',656,10378,3854,483,1386,1869,714,307,503,555,1300,3506,1542,516,378,1085,392,0,yes,yes
'LONGGR01',1003,28514,9518,2145,4009,6154,1716,1199,366,1628,2957,7440,3472,3272,2491,293,83,0,yes,yes
'LONGJO01',893,22680,12131,998,1494,2492,1738,912,180,1555,1868,10929,5108,2104,1814,314,101,0,yes,yes
'LOPEZFE01',249,4147,1448,188,416,604,252,161,62,254,451,1274,550,455,300,147,48,0,yes,no
'LOPEZRA01',113,2135,733,31,163,194,428,84,5,221,278,652,280,150,128,130,45,0,yes,no
'LOUGHKE01',755,22308,11575,0,0,2254,2803,0,0,0,2543,10829,4477,3262,2621,0,0,0,yes,no
'LOVEBO01',789,25120,13895,552,1033,4653,1123,232,56,0,2130,12688,5447,3728,3001,0,0,1,yes,no
'LOVELCL01',704,19075,11947,0,0,6663,1097,0,0,0,2289,10795,4784,3141,2379,0,0,1,yes,no
'LUCASJE01',829,32131,14053,62,312,12942,2732,28,24,0,2387,11441,5709,3365,2635,0,0,1,yes,yes
'LUCASJO01',928,25556,9951,490,1661,2151,6454,1273,73,1803,1691,8696,3905,2446,1897,806,244,0,yes,yes
'LUCASMA01',855,24787,12339,2119,5401,7520,1987,639,538,1810,2865,10297,4870,3399,2595,36,4,1,yes,yes
'LYNCHGE01',774,17674,5109,1438,2463,3901,1121,817,259,890,1675,4677,2086,1213,791,477,146,0,yes,yes
'MACAUED01',641,18071,11234,0,0,4325,2079,0,0,0,1667,8589,3742,4929,3750,0,0,1,yes,no
'MACLEDO01',319,6680,3490,356,854,1210,404,118,51,398,598,2902,1320,1038,794,197,56,0,yes,no
'MACONMA01',251,5018,1685,173,294,467,428,349,20,323,587,1806,694,358,263,126,34,0,yes,no
'MAGLOJA01',343,8569,3268,745,1787,2532,261,145,399,597,968,2356,1136,1393,996,7,0,1,yes,no
'MAHORRI01',1117,25779,7763,1814,5143,6957,1082,633,1006,1456,3499,6286,3098,2218,1562,38,5,0,yes,yes
'MAJERDA01',955,30209,10925,1103,3162,4265,2755,1194,360,1116,1927,9171,3950,2246,1665,3798,1360,1,yes,yes
'MALONJE01',905,29660,17231,572,1792,2364,2154,577,100,1538,1695,14674,7099,3383,2947,321,86,1,yes,yes
'MALONKA01',1476,54852,36928,3456,11511,14967,5248,2085,1145,4524,4578,26210,13528,13188,9787,310,85,1,yes,yes
'MALONMO01',1329,45071,27409,6731,9481,16212,1796,1089,1732,3804,3076,19225,9435,11090,8531,80,8,1,yes,yes
'MANNIDA01',883,24205,12367,1511,3104,4615,2063,1000,752,1853,2895,9835,5026,3120,2274,199,41,1,yes,yes
'MARAVPE02',658,24316,15948,426,1421,2747,3563,587,108,530,1865,14025,6187,4344,3564,15,10,1,yes,no
'MARBUST01',665,25734,13689,444,1597,2041,5498,857,102,2126,1595,11222,4876,3963,3136,2500,801,1,yes,yes
'MARIOSH01',452,16963,8219,1037,3372,4409,957,833,566,762,1148,7122,3298,1438,1205,1196,418,1,yes,yes
'MARSHDO01',744,21062,9208,1600,3819,5419,1174,681,743,1115,1828,8076,3557,1988,1455,1804,639,0,yes,yes
'MARSHDO02',119,919,293,31,90,121,36,37,5,45,107,271,87,113,77,125,42,0,yes,no
'MARTIKE01',353,11928,5356,623,2035,2658,838,461,464,819,1294,4628,2183,1453,958,158,32,1,yes,no
'MARTISL01',745,21889,7337,0,0,2302,3160,0,0,0,2238,7224,2632,2720,2073,0,0,1,yes,no
'MASHBJA01',611,22761,11644,672,2599,3271,2414,632,109,1585,1533,10222,4277,3032,2323,2226,767,1,yes,yes
'MASONAN01',882,30603,9656,1832,5447,7279,2963,648,244,1549,2353,7033,3583,3511,2488,12,2,1,yes,yes
'MASONDE01',395,12135,5101,420,1374,1794,699,291,130,584,915,4171,1890,1598,1256,245,65,0,yes,yes
'MASSETO01',683,12286,4239,977,1989,2966,266,261,322,685,1607,3485,1638,1364,962,11,1,0,yes,no
'MATTHWE01',465,9305,3654,172,454,626,1955,444,81,963,964,3059,1463,878,692,160,36,0,yes,no
'MAXWECE01',835,23769,10465,2108,3153,5261,1862,671,433,1841,2273,6293,3433,4592,3598,19,1,0,yes,yes
'MAXWEVE01',855,24309,10912,378,1822,2200,2912,975,152,1663,1766,9878,3932,2446,1792,3931,1256,0,yes,yes
'MCADOBO01',852,28327,18787,1818,5502,8048,1951,751,1147,1223,2726,14751,7420,5229,3944,37,3,1,yes,yes
'MCCRARO01',768,24876,9014,1645,3442,5087,2750,585,493,1419,1734,6997,3516,2529,1925,219,57,0,yes,yes
'MCDANXA01',870,25201,13606,2082,3230,5312,1775,791,415,1887,2557,11685,5673,3046,2186,283,74,1,yes,yes
'MCDYEAN01',561,17436,8810,1479,3104,4583,799,494,812,1195,1870,7164,3542,2541,1719,53,7,1,yes,yes
'MCGINGE01',528,16194,9090,1601,3576,5177,1985,923,236,1291,1984,7566,3386,3559,2316,25,2,1,yes,no
'MCGRATR01',565,19556,12423,952,2646,3598,2455,778,622,1268,1132,10150,4506,3585,2720,1986,691,1,yes,yes
'MCGUIDI01',738,17170,5921,0,0,2784,4205,0,0,0,1695,5259,2048,2836,1825,0,0,1,yes,no
'MCHALKE01',971,30118,17335,2358,4764,7122,1670,344,1690,1893,2758,12334,6830,4554,3634,157,41,1,yes,yes
'MCKEYDE01',937,27233,10266,1467,2920,4387,2254,1072,611,1713,2700,8048,3908,2885,2247,642,203,0,yes,yes
'MCKIEAA01',769,18901,5842,460,2089,2549,2102,903,164,1049,1567,5148,2251,1222,952,1107,388,0,yes,yes
'MCMILNA01',796,20462,4733,919,2303,3222,4893,1544,356,1486,2407,4136,1833,1183,769,870,298,0,yes,yes
'MERCERO01',432,13418,5892,383,915,1298,921,456,113,683,817,5803,2490,1054,852,240,60,0,yes,yes
'MERIWJO01',669,14807,5439,1285,2479,3764,603,311,810,737,2253,4244,2170,1598,1098,3,1,0,yes,yes
'MESCHTO01',778,23459,9904,0,0,6698,1331,0,0,0,2841,8793,3877,2885,2150,0,0,1,yes,no
'MIHMCH01',336,6832,2540,600,1218,1818,139,107,351,425,985,2137,976,834,585,13,3,0,yes,no
'MIKANGE01',439,8350,10156,0,0,4167,1245,0,0,0,1862,8783,3544,3924,3068,0,0,1,yes,no
'MIKKEVE01',699,18443,10063,0,0,5940,1515,0,0,0,2812,8812,3547,3874,2969,0,0,1,yes,no
'MILESDA01',372,10148,3828,463,1488,1951,750,331,436,772,891,3364,1594,1056,627,115,19,0,yes,no
'MILLEAN02',489,16565,6960,524,1515,2039,3622,691,123,1317,1252,5563,2499,2293,1872,412,90,0,yes,yes
'MILLEBR01',427,12110,5043,894,2423,3317,1051,343,329,612,1227,3557,1768,1879,1480,89,27,1,yes,no
'MILLERE01',1389,47622,25279,873,3309,4182,4141,1505,299,2409,2730,17499,8241,7026,6237,6486,2560,1,yes,yes
'MINGYA01',244,7522,4000,601,1478,2079,320,87,463,573,801,2805,1474,1314,1051,4,1,1,yes,no
'MITCHMI01',759,24537,15016,1539,2707,4246,1010,530,400,1300,2012,12912,6371,2894,2255,88,19,1,yes,no
'MITCHSA01',994,22256,8636,1236,2475,3711,1089,551,301,838,2506,7206,3220,2719,2131,292,65,0,yes,yes
'MIXST01',788,18831,8357,1356,2552,4160,1393,885,173,563,1693,6429,3205,2417,1941,21,6,1,yes,no
'MOKESPA01',694,9739,2764,709,1633,2342,500,228,309,585,1818,2437,1099,800,555,51,11,0,yes,no
'MONCRSI01',767,23150,11931,1424,2151,3575,2793,924,226,1551,1635,8198,4117,4319,3587,387,110,1,yes,yes
'MONROEA01',926,29636,17454,260,976,2796,3594,473,121,305,2416,14898,6906,4513,3642,0,0,1,yes,no
'MOOREJO01',520,13430,4890,390,1157,1547,3866,1017,116,1163,1325,4343,1998,1123,800,374,94,0,yes,yes
'MOOREOT01',682,16893,5616,504,1539,5575,1060,186,342,0,1775,5152,2336,1550,944,0,0,0,yes,no
'MOORETR01',119,1729,833,75,108,183,121,62,8,98,186,738,298,191,160,224,77,0,yes,yes
'MORRICH01',747,18748,8184,1516,2028,3544,1182,917,539,1171,1750,7136,3144,1894,1399,1625,497,0,yes,yes
'MOTENLA01',119,1814,747,80,101,181,182,77,32,126,143,701,286,178,116,197,59,0,yes,yes
'MOURNAL01',671,22706,12992,1757,4579,6336,910,384,1963,1975,2358,8866,4638,5254,3694,88,22,1,yes,yes
'MULLICH01',986,32162,17911,1026,3008,4034,3450,1530,549,2315,2050,13243,6740,4178,3616,2120,815,1,yes,yes
'MULLIJE01',802,24574,13017,144,287,3427,3023,140,37,0,2165,11631,5383,2764,2251,0,0,1,yes,no
'MURDOER01',508,11882,5118,339,922,1261,2467,830,69,991,981,4310,1889,1329,1044,863,296,0,yes,yes
'MURESGH01',307,6730,3020,658,1300,1958,150,171,455,446,958,2206,1265,761,490,1,0,0,yes,no
'MURPHCA01',1002,30607,17949,499,952,2103,4402,1165,51,822,3250,15030,7247,3864,3445,72,10,1,yes,no
'MURPHTR01',259,6946,2758,568,1489,2057,293,166,101,337,711,2362,1015,845,658,188,70,0,yes,yes
'MURRALA01',679,17904,8090,857,2045,2902,963,667,312,1185,1405,7120,3065,1915,1459,1387,501,0,yes,yes
'MUTOMDI01',1009,33829,11196,3296,8037,11333,1218,444,3099,2077,3033,7704,3986,4728,3224,2,0,1,yes,yes
'NACHBBO01',130,1934,661,35,228,263,107,45,32,102,268,573,219,156,123,269,100,0,yes,yes
'NANCELA01',920,30697,15687,2299,5053,7352,2393,872,2027,1711,2703,11664,6370,3892,2939,55,8,1,yes,yes
'NASHST01',624,18269,8006,355,1295,1650,4180,508,38,1426,1188,6132,2885,1647,1469,1836,767,1,yes,yes
'NATERSW01',489,13868,5943,1538,3759,5297,954,258,226,982,1501,4528,2432,1419,1078,4,1,1,yes,no
'NATTCA01',599,18818,10291,1370,2700,4070,1306,525,191,1256,1386,7580,4003,2954,2269,73,16,1,yes,no
'NAULLWI01',716,20620,11305,0,0,6508,1114,0,0,0,2216,11145,4526,2774,2253,0,0,1,yes,no
'NEALLL01',435,11015,4846,686,1717,3370,632,178,324,102,1271,4087,1981,1316,884,0,0,0,yes,no
'NEALYED01',540,6792,1451,585,1214,1799,392,256,51,226,893,1111,553,449,307,130,38,0,yes,no
'NELSODO01',1053,21685,10898,273,723,5192,1526,65,35,0,2451,8373,4017,3744,2864,0,0,0,yes,no
'NELSOJA01',79,1612,689,52,141,193,237,78,3,117,199,628,286,107,73,141,44,0,yes,no
'NEWBLIR01',280,6466,1648,242,661,903,313,165,87,239,562,1485,673,309,244,172,58,0,yes,yes
'NEWLIMI01',837,24574,12507,559,1367,2494,3364,702,58,878,2542,10133,4720,3456,3005,205,62,0,yes,yes
'NEWMAJO01',1159,28435,12740,941,1595,2536,1688,1064,246,1656,3199,9671,4456,3984,3228,1786,600,0,yes,yes
'NIXONNO01',768,27250,12065,473,1518,1991,6386,1187,71,2368,1983,10805,5219,1978,1527,340,100,1,yes,yes
'NORMAKE01',646,18992,8717,1352,2593,3945,1355,517,431,1173,1483,7695,3737,1786,1012,741,231,0,yes,yes
'NOWITDI01',522,18961,11106,569,3852,4421,1295,554,578,978,1469,8203,3800,3209,2748,2022,758,1,yes,yes
'OAKLECH01',1282,40282,12417,3887,8318,12205,3217,1351,386,2785,4421,10263,4835,3522,2679,269,68,1,yes,yes
'ODOMLA01',374,13603,6002,643,2475,3118,1623,357,430,1156,1283,4942,2200,1830,1308,952,294,0,yes,yes
