@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class {0,1}
@attribute Outlier {yes,no}
@attribute ExtremeValue {yes,no}
@data
'BIRDLA01',897,34443,21791,1757,7217,8974,5695,1556,755,2816,2279,17334,8591,4471,3960,1727,649,1,yes,yes
'BIRDSOT01',696,21627,12544,920,1152,2072,2260,858,143,1491,1783,10562,5347,2748,1801,179,49,1,yes,no
'BLACKRO01',980,32087,17623,1047,2231,3278,2981,715,274,1829,1634,13969,6887,4309,3620,667,229,1,yes,yes
'BLAYLMO01',889,31026,11962,1016,2643,3659,5972,2073,300,2067,1687,11499,4705,1724,1269,3816,1283,1,yes,yes
'BLOUNMA01',353,7447,2357,569,1041,1610,302,210,333,496,911,1845,952,627,453,1,0,0,yes,no
'BOGUEMU01',889,25424,6858,534,1784,2318,6726,1369,39,1433,1582,6210,2845,1284,1062,381,106,0,yes,yes
'BOLMA01',624,11698,1599,596,2051,2647,171,126,2086,451,1457,1635,665,403,226,205,43,0,yes,yes
'BONDWA01',153,2427,873,80,209,289,177,97,34,146,360,805,329,227,174,137,41,0,yes,no
'BONNEMA01',82,1553,589,108,177,285,48,39,19,40,220,463,247,71,56,92,39,0,yes,no
'BOOZEBO01',874,25549,12964,0,0,7119,1237,0,0,0,2489,10738,4961,3998,3042,0,0,1,yes,no
'BOWIEAN01',461,8350,2945,299,722,1021,840,288,106,479,711,2629,1247,467,384,212,67,0,yes,yes
'BOWIESA01',511,14098,5564,1192,2653,3845,1075,263,909,978,1553,4702,2127,1708,1278,106,32,0,yes,yes
'BRADLDU01',600,10192,3131,317,781,1098,1147,940,182,682,1220,2780,1222,803,586,346,101,0,yes,yes
'BRADLSH01',832,19532,6752,1721,3547,5268,573,532,2119,1059,2567,5935,2713,1847,1322,39,4,0,yes,yes
'BRANDEL01',447,17059,8717,1579,3089,4668,1178,414,894,1157,1429,6663,3304,2904,2109,9,0,1,yes,yes
'BRANDTE01',724,21546,9994,421,1753,2174,4407,1142,226,1419,1325,8710,3908,2043,1784,1110,394,1,yes,yes
'BRAUNCA01',788,18409,10625,0,0,2122,2892,0,0,0,2164,10211,3912,3484,2801,0,0,1,yes,no
'BREWEJI01',703,15936,4099,1660,2798,4458,1038,556,510,332,1536,3983,1785,925,528,13,1,0,yes,no
'BRICKFR01',731,16278,7302,1008,2402,3410,1384,644,285,1372,2298,5538,2873,2028,1501,170,55,0,yes,no
'BRIDGBI01',926,30878,11012,257,376,11054,2553,69,36,0,3375,9463,4181,3824,2650,0,0,1,yes,yes
'BRIDGJU01',849,21257,11517,910,2085,2995,2066,685,220,1169,1969,10099,4801,2216,1875,164,40,0,yes,no
'BROWNDE01',608,16843,6758,327,1229,1556,2223,792,190,920,1271,5823,2540,1300,1073,1697,605,0,yes,yes
'BROWNDE02',135,1958,758,83,241,324,132,58,17,100,158,640,270,212,169,136,49,0,yes,no
'BROWNFR01',963,24422,14018,681,1601,2637,3160,1149,166,840,1937,12568,6006,2211,1896,295,110,1,yes,yes
'BROWNKE01',143,1934,509,88,259,347,103,85,28,64,170,501,203,89,57,168,46,0,yes,no
'BROWNPJ01',924,29775,8718,2471,4971,7442,1513,837,1006,1157,2786,7323,3399,2412,1912,56,8,0,yes,yes
'BROWNTO01',360,6006,2163,352,414,766,563,234,40,392,751,1969,860,566,407,139,36,0,yes,no
'BRUNSRI01',310,4286,1036,71,354,425,841,193,20,334,340,996,376,271,189,264,95,0,yes,yes
'BRYANKO01',627,21964,14034,725,2484,3209,2788,912,400,1780,1674,10830,4890,4374,3635,1861,619,1,yes,yes
'BUCKNGR01',327,6366,1803,293,738,1031,426,270,74,235,839,1499,710,391,290,269,93,0,yes,yes
'BUCKNQU01',719,16245,5929,598,1371,1969,3114,1337,80,1382,2097,5527,2546,1264,830,38,7,0,yes,yes
'BUFORRO01',230,4184,1472,74,524,598,179,115,31,140,332,1530,630,182,138,247,74,0,yes,yes
'BUSEDO01',648,17070,4485,373,1134,1507,2920,1160,97,601,967,4139,1829,844,658,507,169,1,yes,yes
'CAGEMI01',1140,29716,8278,3227,5419,8646,1057,1050,725,1161,2581,6445,3317,2476,1644,25,0,0,yes,yes
'CAMBYMA01',490,14318,5237,1253,2962,4215,685,473,1162,712,1546,4503,2113,1515,1005,38,6,0,yes,yes
'CAMPBEL01',1045,25776,10805,1775,4341,6116,1199,702,1602,1378,3006,8835,4062,3832,2679,37,2,0,yes,yes
'CAMPBTO01',690,15180,7994,912,1205,2117,1019,582,157,1083,1536,6981,3180,1984,1567,266,67,0,yes,yes
'CARDIBR01',162,3251,1307,174,402,576,223,162,41,177,410,946,397,474,411,262,102,0,yes,yes
'CARRAN01',987,19780,9176,1151,2233,3384,1086,361,925,1187,3063,7286,3663,2364,1844,46,6,0,yes,yes
'CARRKE01',674,17167,7813,1506,3493,4999,923,484,296,1438,2153,5998,3057,2479,1696,38,3,0,yes,no
'CARRML01',604,14216,5853,918,1677,2595,1112,812,226,867,1484,4954,2330,1555,1160,129,33,0,yes,no
'CARROJO01',705,22838,12455,1690,3714,5404,1264,687,1122,1964,2212,10583,5021,3232,2413,13,0,1,yes,yes
'CARTEBU01',361,6814,3137,234,312,546,683,321,43,479,792,2717,1290,638,503,176,54,0,yes,no
'CARTEVI01',460,17337,10989,738,1688,2426,1819,618,448,1074,1375,9183,4113,2665,2101,1699,662,1,yes,yes
'CARTWBI01',963,27491,12713,1812,4294,6106,1390,460,668,1892,2833,8868,4656,4412,3401,2,0,1,yes,yes
'CASSESA01',802,24478,12960,491,2140,2631,4964,919,138,2045,2295,10290,4711,3483,2991,1654,547,1,yes,yes
'CATCHHA01',725,13182,2335,1267,2372,3639,608,261,1226,594,2000,2127,926,747,483,3,0,0,yes,yes
'CATLETE01',515,13541,6520,1479,1835,3314,459,285,99,886,1285,5311,2576,2087,1365,32,3,0,yes,no
'CEBALCE01',609,14712,8693,1252,2006,3258,723,450,182,991,1074,6824,3414,2165,1630,760,235,1,yes,yes
'CHAMBTO01',1107,33922,20049,1942,4761,6703,2283,885,627,2549,3742,15749,7378,6274,5066,740,227,1,yes,yes
'CHAMBWI01',1045,47859,31419,0,0,23924,4643,0,0,0,2075,23497,12681,11862,6057,0,0,1,yes,yes
'CHANDTY01',261,6190,1980,521,1381,1902,218,151,383,390,754,1365,682,967,616,3,0,0,yes,no
'CHEEKMA01',1101,34845,12195,713,2375,3088,7392,2310,294,2268,2258,9374,4906,2938,2331,204,52,1,yes,yes
'CHONEJI01',623,19125,7664,1402,3794,5196,1079,332,643,746,1968,7014,3280,1569,1104,6,0,0,yes,yes
'CHRISDO01',813,25807,9262,749,2609,3358,2970,1543,389,1710,2030,7561,3224,2445,2010,2265,804,0,yes,yes
'CLARKAR01',725,23581,11819,130,383,2427,3498,231,15,0,1806,9784,4693,3163,2433,0,0,1,yes,no
'COLEMDE01',781,25905,12884,1972,5260,7232,1985,606,1051,2036,2062,10333,4616,4326,3326,1105,326,1,yes,yes
'COLESBI01',852,20317,6628,461,1359,1820,3313,734,134,1267,1824,5991,2549,1576,1278,943,252,0,yes,yes
'COLTEST01',526,9570,3319,297,754,1051,1482,463,76,534,897,2891,1295,839,653,263,76,0,yes,yes
'CONNELE01',687,14970,4337,633,1228,1861,2669,1085,64,914,1036,3618,1639,1378,1037,109,22,0,yes,no
'COOKBR01',107,1529,613,94,223,317,55,39,42,46,203,563,243,65,49,204,78,0,yes,yes
'COOKDA01',612,14156,5820,424,884,1308,2248,1044,203,1122,1315,5475,2479,1056,807,280,55,0,yes,yes
'COOPEMI01',873,23635,7729,741,2028,2769,3666,1033,523,1429,2329,6429,3014,1529,1273,1260,428,0,yes,yes
'COOPEWA01',984,20274,7777,2149,3946,6095,852,295,1535,1181,3144,7100,3242,1747,1286,48,7,0,yes,yes
'CORBITY01',1065,27657,9766,1726,3320,5046,1894,1228,270,1310,2627,8584,3918,2189,1732,663,198,0,yes,yes
'CORZIDA01',891,20772,7615,1747,3515,5262,1477,369,848,1340,1935,6401,3097,1889,1411,53,10,0,yes,yes
'COSTELA01',706,21198,8622,0,0,2705,3215,0,0,0,2326,7068,3095,2891,2432,0,0,1,yes,no
'COUSYBO01',924,30165,16960,0,0,4786,6955,0,0,0,2242,16468,6168,5756,4624,0,0,1,yes,yes
'COWENDA01',766,29565,13516,1574,5122,10444,2910,599,488,543,2920,12499,5744,2590,2027,14,1,1,yes,yes
'CRAWFCH01',252,3986,1654,206,341,547,154,101,80,232,492,1393,609,444,366,202,70,0,yes,yes
'CUMMIPA01',683,14516,6529,1166,2659,3825,807,360,171,1152,2037,5506,2734,1440,1061,16,0,0,yes,no
