@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'ELLISJO01',524,10374,4623,37,85,2686,716,33,9,0,1397,4884,1946,1005,731,0,0,0
'ELLISLA01',624,17615,7410,1258,2774,4032,981,433,477,1001,1934,6409,2895,1888,1379,797,241,0
'ELLISLE01',1048,27520,10176,534,1060,8709,1405,146,151,0,2661,9378,4143,2595,1890,0,0,0
'ELLISLE02',91,857,277,87,133,220,29,25,37,35,105,254,110,93,57,0,0,0
'ELLISPE01',474,11593,4494,1087,2083,3170,691,293,752,798,1493,3579,1826,1221,841,20,1,0
'ELMORLE01',505,8384,2327,713,1433,2146,459,379,405,522,1258,2252,929,656,469,1,0,0
'ELSONFR01',129,1814,466,126,277,403,66,69,80,75,274,415,195,124,75,4,1,0
'ELSTODA01',5,40,5,1,5,6,2,1,0,0,6,14,2,2,1,0,0,0
'ELYME01',173,2961,969,254,347,601,113,51,118,185,362,865,385,328,199,1,0,0
'EMBRYWA01',831,21763,10380,0,0,7544,1194,0,0,0,2838,9067,3993,3741,2394,0,0,1
'EMMETAN01',8,28,7,0,2,2,0,0,0,1,4,6,2,5,3,0,0,0
'ENDRENE01',16,0,14,0,0,0,4,0,0,0,13,25,3,15,8,0,0,0
'ENGLECH01',195,1405,343,137,249,386,45,32,42,91,274,336,138,99,67,0,0,0
'ENGLEWA01',11,50,28,5,11,16,7,1,0,3,12,29,11,10,6,0,0,0
'ENGLIAJ01',151,3108,1502,140,175,315,320,57,24,203,287,1418,617,333,259,65,9,0
'ENGLIAL01',1193,38063,25613,2778,3760,6538,4351,1067,833,2821,3027,21036,10659,5141,4277,83,18,1
'ENGLICL01',18,70,27,0,0,20,6,0,0,0,15,42,11,7,5,0,0,0
'ENGLIJO01',50,577,179,12,42,54,46,18,13,46,85,178,74,36,20,32,11,0
'ENGLISC01',29,196,93,0,0,44,15,0,0,0,38,93,36,29,21,0,0,0
'ENGLUGE01',46,0,360,0,0,0,41,0,0,0,167,274,104,192,152,0,0,0
'EPPSRA01',13,72,26,0,5,5,2,1,0,2,7,23,10,8,6,0,0,0
'ERIASBO01',18,401,148,0,0,83,26,0,0,0,52,170,59,47,30,0,0,0
'ERICKKE01',766,18841,7251,306,827,3448,1991,222,45,0,2081,6926,3014,1591,1223,0,0,0
'ERVINJU01',836,28677,18364,2067,3534,5601,3224,1508,1293,2323,2286,14276,7237,4950,3844,176,46,1
'ESCHMEV01',153,2137,421,195,406,601,76,69,95,96,399,341,158,169,105,0,0,0
'ESKRIJA01',23,0,64,0,0,0,14,0,0,0,25,69,25,20,14,0,0,0
'ESPOSVI01',30,282,116,4,12,16,23,7,0,39,27,100,36,39,31,56,13,0
'EVANSBO01',47,0,142,0,0,0,55,0,0,0,99,200,56,44,30,0,0,0
'EVANSBR01',102,1097,375,56,108,164,77,35,18,42,115,378,144,61,50,108,37,0
'EVANSEA01',36,381,157,26,49,75,37,14,1,36,64,140,63,42,24,18,7,0
'EVANSMA01',75,1278,437,88,117,205,49,37,8,36,113,392,174,82,62,85,27,0
'EVANSMI01',591,9858,4531,184,624,808,1514,430,51,818,1173,4060,1835,781,630,753,231,0
'EVANSRE01',221,4526,816,577,1012,1589,124,150,36,221,551,580,264,536,288,5,0,0
'EWINGPA01',1183,40597,24815,2720,8886,11606,2215,1136,2894,3535,4034,19241,9702,7289,5392,125,19,1
'EZERSJO01',135,0,1031,0,0,0,169,0,0,0,299,1270,366,447,299,0,0,0
'FABELJO01',30,0,63,0,0,0,2,0,0,0,64,96,25,26,13,0,0,0
'FAIRCJO01',30,171,60,0,0,45,11,0,0,0,33,89,23,20,14,0,0,0
'FARBMPH01',48,0,155,0,0,0,36,0,0,0,86,163,50,81,55,0,0,0
'FARLEDI01',211,3822,1378,0,0,527,386,0,0,0,429,1252,481,594,416,0,0,0
'FARMEJI01',136,1454,715,77,109,186,111,42,4,118,164,643,275,196,143,78,22,0
'FARMEMI01',423,8818,2816,0,0,1950,550,0,0,0,840,2965,1165,597,486,0,0,0
'FARMETO01',101,1368,532,134,193,327,79,76,20,91,190,365,144,304,234,53,10,0
'FAUGHBO01',51,0,343,0,0,0,33,0,0,0,97,478,141,106,61,0,0,0
'FEDORDA01',7,27,6,0,0,6,1,0,0,0,4,10,3,1,0,0,0,0
'FEERIBO01',221,0,2936,0,0,0,440,0,0,0,592,2977,1077,972,782,0,0,0
'FEHERBU01',48,487,248,18,56,74,36,11,7,0,46,162,86,99,76,0,0,0
'FEICKJA01',201,4315,911,515,922,1437,139,117,90,152,439,827,351,313,197,30,12,0
'FEIERRO01',10,59,30,0,0,6,6,0,0,0,9,28,8,16,14,0,0,0
'FEIGEGE01',17,79,52,0,0,7,19,0,0,0,29,79,18,33,16,0,0,0
'FEITLDA01',275,3001,1192,241,574,815,125,46,46,234,439,1089,471,333,250,9,0,0
'FELIXRA01',637,15188,6974,0,0,5652,448,0,0,0,2419,5841,2406,3187,2162,0,0,1
'FENDLJA01',103,1031,287,0,0,126,94,0,0,0,200,250,86,155,115,0,0,0
'FENLEBI01',33,0,85,0,0,0,16,0,0,0,59,138,31,45,23,0,0,0
'FERGUDE01',7,32,13,0,4,4,1,0,0,1,0,12,5,2,0,8,3,0
'FERNSER01',218,1643,517,144,228,372,82,52,51,72,174,434,193,194,131,0,0,0
'FERRAAL01',371,7582,2525,0,0,830,943,0,0,0,1008,2389,878,1012,769,0,0,0
'FERREDU01',583,8727,3704,552,580,1132,509,302,105,509,902,2961,1420,1096,822,146,42,0
'FERRERO01',12,34,9,4,9,13,1,0,1,6,7,18,1,8,7,0,0,0
'FERRIAR01',178,0,1037,0,0,271,278,0,0,0,509,1147,381,401,275,0,0,0
'FERRYBO01',634,12828,5780,0,0,3343,906,0,0,0,1438,5142,2225,2003,1330,0,0,0
'FERRYDA01',917,18134,6439,635,1915,2550,1185,384,292,811,1965,5615,2505,895,752,1722,677,0
'FIELDKE01',184,2692,1140,176,288,464,188,97,38,181,394,977,463,288,211,16,3,0
'FILIPRO01',19,73,43,0,0,25,7,0,0,0,12,47,18,14,7,0,0,0
'FILLMGR01',49,338,118,0,0,108,20,0,0,0,97,129,52,30,14,0,0,0
'FINKEHA01',551,6866,2790,74,173,2151,426,10,10,0,1090,2508,1125,816,540,0,0,0
'FINLEMI01',735,28886,13974,937,2802,3739,2750,851,267,1383,1431,12103,5440,2662,2149,2557,945,1
'FINNDA01',142,3397,1042,0,0,548,566,0,0,0,453,1169,382,464,278,0,0,0
'FISHEDE01',618,15118,4905,222,1116,1338,1919,634,49,735,1115,4345,1724,1150,900,1511,557,0
'FISHMA01',50,516,177,43,67,110,25,19,14,34,91,142,71,56,35,1,0,0
'FITZGBO01',78,0,240,0,0,0,47,0,0,0,179,391,76,140,88,0,0,0
'FITZGDI01',61,0,277,0,0,0,40,0,0,0,90,498,118,60,41,0,0,0
'FIZERMA01',286,5991,2762,284,1049,1333,351,134,81,426,644,2519,1094,801,554,109,20,0
'FLEISJE01',262,882,1512,0,0,152,429,0,0,0,607,1953,541,674,430,0,0,0
'FLEMIAL01',20,97,40,13,17,30,7,0,5,16,16,31,15,17,10,0,0,0
'FLEMIED01',292,6186,2511,0,0,1532,544,0,0,0,688,2403,862,1077,787,0,0,0
'FLEMIVE01',893,24721,10125,979,2036,3015,4293,926,105,1795,2003,7954,3964,2826,2159,210,38,0
'FLORELU01',16,77,35,1,2,3,11,2,0,11,9,29,14,2,2,10,5,0
'FLOWEBR01',53,699,261,71,109,180,47,19,12,43,99,206,110,53,41,2,0,0
'FLOYDSL01',957,26383,12260,626,1868,2494,5175,1120,215,2251,1972,10015,4448,3493,2846,1599,518,0
'FLYNNMI01',144,2279,896,123,181,304,321,98,16,75,158,840,370,239,156,0,0,0
'FOGLELA01',2,14,2,1,2,3,0,1,0,0,4,5,1,0,0,0,0,0
'FOLEYJA01',11,83,53,0,0,16,5,0,0,0,8,51,20,15,13,0,0,0
'FONTAIS01',6,75,11,0,5,5,4,0,0,4,6,14,3,6,4,5,1,0
'FONTALE01',35,210,134,0,0,15,22,0,0,0,27,145,53,37,28,0,0,0
'FORDAL01',11,114,35,8,12,20,10,3,0,9,7,52,16,4,2,10,1,0
'FORDAL02',73,523,186,4,120,124,11,6,8,37,115,138,70,66,46,0,0,0
'FORDCH01',794,22043,7314,820,1308,2394,2719,1152,192,726,1817,6874,3160,1188,868,336,126,0
'FORDDO01',474,9301,3016,544,1147,1691,647,274,139,296,1004,2828,1313,503,389,7,1,0
'FORDJA01',31,249,126,0,0,20,35,0,0,0,32,91,42,55,42,0,0,0
'FORDPH01',482,13503,5594,161,693,854,3083,589,29,1326,1269,4560,2128,1602,1313,119,25,0
'FORDSH01',28,139,90,12,12,24,5,8,1,6,27,80,30,34,26,25,4,0
'FORDTJ01',55,1472,391,37,140,177,356,60,3,139,123,398,153,98,80,21,5,0
'FORMADO01',44,0,179,0,0,0,74,0,0,0,94,231,68,67,43,0,0,0
'FORREBA01',139,2130,569,194,371,565,296,52,71,191,256,510,229,218,111,0,0,0
'FORTEJO01',25,125,30,4,13,17,17,6,0,13,7,47,11,10,8,6,0,0
'FORTSDA01',403,8399,3488,974,2089,3063,303,177,92,614,1434,2453,1154,1500,1178,11,2,0
'FOSTEFR01',523,9116,4093,132,162,1275,601,57,8,0,1008,4107,1701,950,691,0,0,0
'FOSTEGR01',656,7974,2538,509,1182,1691,351,94,194,465,1221,2382,1047,567,424,89,20,0
'FOSTEJE01',392,7383,1844,801,1615,2416,266,260,127,282,880,1494,719,657,402,34,4,0
'FOSTERO01',207,3446,1562,75,183,258,479,137,10,286,441,1434,631,297,228,242,72,0
'FOTSIAN01',28,319,108,4,58,62,10,9,11,21,22,104,42,20,17,23,7,0
'FOUSTLA01',817,21890,11198,0,0,8041,1368,0,0,0,2909,9414,3814,4816,3570,0,0,1
'FOWLEJE01',6,41,9,0,0,10,2,0,0,0,9,13,4,4,1,0,0,0
'FOWLKTR01',103,1232,301,62,166,228,54,47,6,50,146,257,105,110,87,20,4,0
'FOXHA01',10,84,31,0,0,8,10,0,0,0,7,32,12,8,7,0,0,0
'FOXJI01',743,17294,6945,554,1215,5525,1201,151,79,0,2023,5452,2611,2239,1723,0,0,0
'FOXRI01',930,23722,8966,929,2588,3517,2649,967,355,1611,2739,7519,3382,1858,1431,2210,771,0
'FOYLEAD01',516,9926,2364,905,1772,2677,273,193,965,459,1200,2217,1041,575,282,2,0,0
'FRAHMRI01',97,968,347,29,88,117,54,31,8,21,85,279,119,51,44,172,65,0
'FRANCST01',452,17803,8889,771,1974,2745,2928,722,189,1702,1458,7102,3051,2861,2283,1473,504,1
'FRANKNA01',6,0,16,0,0,0,3,0,0,0,6,27,4,12,8,0,0,0
'FRANKTE01',264,4703,1710,363,659,1022,276,158,95,326,795,1456,639,583,432,4,0,0
'FRAZIWA01',825,30965,15581,403,1523,4830,5040,681,59,139,2180,12516,6130,4226,3321,1,0,1
'FRAZIWI01',2,9,1,0,0,5,1,0,0,0,1,4,0,2,1,0,0,0
'FREDEAN01',147,1640,718,137,143,280,135,76,45,132,200,663,291,186,130,22,6,0
'FREEMDO01',64,1480,689,72,108,180,171,57,11,0,160,606,263,199,163,0,0,1
'FREEMGA01',52,382,167,0,0,106,35,0,0,0,67,134,69,40,29,0,0,0
'FREEMRO01',35,265,106,22,32,54,14,12,1,0,42,103,39,41,28,0,0,0
'FREEWO01',886,26893,17955,1008,1422,2430,3319,910,223,1869,2270,14294,6512,6264,4718,632,213,1
'FREIJMA01',23,441,93,16,45,61,20,13,2,17,40,127,37,8,5,54,14,0
'FREYFR01',23,0,88,0,0,0,14,0,0,0,37,97,28,56,32,0,0,0
'FRIENLA01',44,569,175,0,0,106,47,0,0,0,54,226,74,41,27,0,0,0
'FRINKPA01',48,363,123,0,0,41,55,0,0,0,54,147,50,29,23,0,0,0
'FRITSJI01',84,1372,326,0,0,249,77,0,0,0,131,427,132,84,62,0,0,0
'FRYERBE01',120,2370,756,76,151,227,357,142,16,17,241,665,297,206,162,1,0,0
'FUCARFR01',28,0,140,0,0,0,8,0,0,0,38,198,53,60,34,0,0,0
'FUETSHE01',42,0,109,0,0,0,17,0,0,0,39,140,42,40,25,0,0,0
'FULKSJO01',489,4490,8003,0,0,1379,587,0,0,0,1774,9338,2824,3075,2355,0,0,1
'FULLEHI01',4,43,8,4,7,11,2,0,1,4,5,8,3,6,2,0,0,0
'FULLETO01',15,248,60,13,29,42,28,10,1,23,25,66,24,16,12,1,0,0
'FULLETO02',225,2500,835,240,434,674,46,34,60,146,351,752,317,301,201,4,0,0
'FUNDELA01',318,4726,2031,403,739,1142,183,94,100,225,360,1606,812,600,405,17,2,0
'FURLOTE01',239,4809,2550,211,296,507,568,159,69,374,298,2273,1044,508,438,82,24,0
'GABORBI01',307,3680,2997,0,0,448,626,0,0,0,1050,3141,1080,1136,837,0,0,1
'GADZUDA01',205,3803,1186,453,764,1217,67,120,263,153,535,945,496,373,194,2,0,0
'GAINECO01',80,1001,248,12,57,69,247,39,3,72,98,217,92,72,53,48,11,0
'GAINEEL01',20,0,29,0,0,0,10,0,0,0,36,44,10,14,9,0,0,0
'GAINERE01',59,551,110,9,44,53,47,16,3,25,39,136,42,29,19,24,7,0
'GALEMI01',453,11189,3372,238,884,1122,1965,840,163,647,1010,3006,1425,628,518,25,4,0
'GALLACH01',2,3,6,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0
'GALLAHA01',682,15813,8843,0,0,6684,1208,0,0,0,2086,7057,2810,4167,3223,0,0,1
'GAMBEDA01',750,14665,7935,0,0,3891,757,0,0,0,2180,6708,2820,2791,2295,0,0,0
'GAMBLKE01',649,14508,6154,370,1087,1457,1300,470,176,587,1228,5106,2562,990,802,634,228,0
'GANTTBO01',23,0,71,0,0,0,5,0,0,0,45,89,29,28,13,0,0,0
'GARCERU01',13,73,16,16,13,29,5,3,2,5,14,22,7,8,2,0,0,0
'GARCIAL01',10,159,47,7,8,15,18,6,1,9,15,59,19,6,4,18,5,0
'GARDNEA01',50,0,89,0,0,0,19,0,0,0,50,101,38,28,13,0,0,0
'GARDNVE01',151,507,1339,0,0,349,245,0,0,0,445,1493,514,416,311,0,0,0
'GARFIJA01',92,0,476,0,0,0,134,0,0,0,159,754,207,88,62,0,0,0
'GARLAGA01',78,1106,334,50,88,138,145,54,4,73,80,356,155,26,18,19,6,0
'GARLAWI01',511,13388,4799,413,1020,1433,2421,674,80,975,1251,4444,1912,1087,902,260,73,0
'GARMADI01',421,12155,5597,0,0,1748,1114,0,0,0,1168,5019,2022,1974,1553,0,0,1
'GARNEBI01',300,5260,1638,468,830,1298,393,159,173,332,832,1167,572,686,494,9,0,0
'GARNECH01',46,442,72,9,27,36,63,28,6,34,68,107,30,13,8,21,4,0
'GARNEKE01',775,29583,15681,2007,6594,8601,3525,1089,1343,2002,1965,12882,6311,3794,2915,481,144,1
'GARNEMA01',24,205,51,3,18,21,18,5,1,12,18,51,15,20,15,23,6,0
'GARRECA01',166,3008,855,139,297,436,242,94,18,165,327,820,375,129,99,20,6,0
'GARREDE01',359,6970,1737,584,1226,1810,204,168,372,203,687,1504,722,433,293,0,0,0
'GARREEL01',339,8729,3475,15,25,1004,849,10,1,0,1024,3392,1436,699,603,0,0,0
'GARRERO01',263,2905,1337,193,353,607,106,75,39,0,344,1273,562,276,213,0,0,0
'GARRIJO01',33,267,131,35,42,77,10,8,6,11,40,102,52,34,27,0,0,0
'GARRIKI01',31,248,72,3,17,20,30,7,2,16,22,75,24,25,19,15,5,0
'GARRIPA01',431,9565,3598,242,1021,1263,378,220,94,348,1094,3151,1329,471,378,1389,562,0
'GARRITO01',251,4718,1359,123,378,501,853,266,22,343,447,1159,543,346,268,60,5,0
'GARVIJI01',6,11,2,1,4,5,0,0,0,0,1,4,1,0,0,0,0,0
'GASOLPA01',298,10205,5374,593,1867,2460,785,156,542,761,746,3924,1983,1920,1401,36,7,0
'GATESFR01',64,0,287,0,0,0,91,0,0,0,147,402,113,98,61,0,0,0
'GATLICH01',700,13761,7232,1201,2540,3741,461,464,375,1069,1870,5469,2804,2386,1574,201,50,1
'GATTIKE01',494,9930,3923,744,1583,2327,444,290,327,602,1419,2956,1536,1309,850,12,1,0
'GAYDAED01',14,0,54,0,0,38,13,0,0,0,32,42,18,23,18,0,0,0
'GAZEAN01',26,128,43,3,9,12,11,4,2,7,16,42,16,2,2,24,9,0
'GEARYRE01',101,931,209,23,59,82,110,50,14,57,131,227,78,67,33,61,20,0
'GEIGEMA01',552,12221,5059,1152,2006,3158,391,307,347,744,1629,4082,2039,1325,965,69,16,0
'GEORGDE01',358,6571,2124,277,882,1159,360,241,139,286,732,2010,785,443,322,669,232,0
'GEORGJA01',506,15860,5153,0,0,2129,2169,0,0,0,1242,5226,1901,1918,1351,0,0,1
'GEORGTA01',177,2019,736,65,115,180,325,76,11,157,182,717,297,172,141,14,1,0
'GERARGU01',280,3524,1607,291,428,719,224,151,135,161,484,1502,655,456,296,7,1,1
'GERVIDE01',77,1082,676,69,106,175,38,39,26,57,135,591,257,203,155,31,7,0
'GERVIGE01',791,26536,20708,1186,2421,3607,2214,941,670,2137,2331,15747,8045,5383,4541,259,77,1
'GETCHGO01',16,0,5,0,0,0,0,0,0,0,5,8,0,5,5,0,0,0
'GIANEJO01',541,13650,4210,967,2071,3188,832,225,476,275,1270,3823,1798,875,614,0,0,0
'GIBBSDI01',333,4310,1739,159,231,624,260,67,35,0,629,1678,675,487,389,0,0,0
'GIBSODE01',44,0,281,0,0,0,126,0,0,0,113,245,77,177,127,0,0,0
'GIBSOME01',9,53,13,0,0,4,6,0,0,0,10,20,6,2,1,0,0,0
'GIBSOMI01',64,390,101,44,62,106,14,13,11,20,65,106,41,28,19,0,0,0
'GIBSOWA01',32,0,176,0,0,0,37,0,0,0,106,195,67,64,42,0,0,0
'GILLEBE01',24,84,25,7,16,23,2,2,4,5,29,19,6,23,13,0,0,0
'GILLED01',126,1713,474,20,146,166,172,83,10,116,168,411,151,145,123,156,49,0
'GILLEGE01',14,0,8,0,0,0,2,0,0,0,13,11,1,9,6,0,0,0
'GILLIAR01',929,26421,12700,2117,4285,6402,1086,676,608,1723,2010,9897,4838,3896,3024,17,0,0
'GILLIHE01',578,15026,6252,257,635,2175,2225,369,49,0,1519,6120,2696,1086,860,0,0,0
'GILLKE01',966,29482,12914,1250,2752,4002,2945,1519,432,1734,2514,11672,5068,3267,2463,1051,315,0
'GILMOAR01',909,29685,15579,2639,6522,9161,1777,470,1747,2347,2986,9570,5732,5768,4114,13,1,1
'GILMOWA01',27,261,58,0,0,73,12,0,0,0,49,54,23,26,12,0,0,0
'GILMUCH01',239,0,1392,0,0,75,348,0,0,0,896,1571,511,608,370,0,0,0
'GINOBEM01',220,5884,2698,208,626,834,717,351,60,433,541,1966,871,911,720,651,236,0
'GIRICGO01',230,5847,2477,112,534,646,396,154,34,338,458,2159,949,478,396,506,183,0
'GIVENJA01',156,2601,1040,212,244,456,142,123,36,134,253,1037,416,263,208,2,0,0
'GLAMAGE01',11,0,102,0,0,0,19,0,0,0,28,121,30,55,42,0,0,0
'GLASSGE01',201,3347,1553,228,284,512,298,130,58,179,361,1583,686,241,155,110,26,0
'GLENNMI01',593,9617,4496,152,558,710,952,318,43,429,893,3611,1958,669,572,28,8,0
'GLICKNO01',1,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'GLOUCGE01',49,772,239,31,132,163,32,26,25,76,124,209,84,122,70,1,1,0
'GLOVECL01',25,119,65,0,0,46,4,0,0,0,26,55,25,32,15,0,0,0
'GLOVEDI01',294,6131,2407,141,756,897,455,233,65,370,487,2222,914,570,431,467,148,0
'GMINSMI01',938,24058,10953,2082,4398,6480,1203,507,989,1368,1574,9047,4208,3002,2531,49,6,0
'GODFRDA01',11,22,13,0,2,2,0,1,4,0,5,12,5,4,3,1,0,0
'GOLATO01',698,22529,7871,0,0,5617,2962,0,0,0,2688,6883,2964,2556,1943,0,0,1
'GOLDFBE01',2,0,2,0,0,0,0,0,0,0,3,2,0,4,2,0,0,0
'GOLDWAN01',263,4929,1665,72,286,358,735,167,9,263,388,1418,579,380,301,531,206,0
'GONDRGL01',435,7545,2544,730,1234,1964,605,485,117,453,1101,2069,979,807,584,14,2,0
'GONDRGR01',91,1080,454,62,84,146,115,38,5,73,127,395,173,147,101,28,7,0
'GOODEDR01',231,6531,2973,530,1194,1724,302,192,183,409,601,2549,1188,784,569,118,28,0
'GOODRGA01',1031,33527,19181,453,651,3279,4805,545,72,390,2775,16300,7431,5354,4319,0,0,1
'GOODRST01',21,183,24,8,18,26,11,3,3,11,24,28,9,9,5,3,1,0
'GOODWWI01',79,0,347,0,0,0,22,0,0,0,130,503,134,102,79,0,0,0
'GORDOBE01',82,2002,1235,55,160,215,164,53,10,186,224,1056,434,270,233,331,134,0
'GORDOLA01',201,2581,1125,116,143,259,294,128,31,237,266,1208,472,206,158,85,23,0
'GORDOPA01',4,0,3,0,0,0,3,0,0,0,3,6,0,5,3,0,0,0
'GOTTLLE01',84,0,465,0,0,0,36,0,0,0,107,722,208,76,49,0,0,0
'GOVEDBA01',23,258,75,0,0,18,24,0,0,0,44,79,25,37,25,0,0,0
'GRABOJO01',845,22665,9280,0,0,5999,1502,0,0,0,2591,9763,3433,3447,2414,0,0,0
'GRACERI01',3,8,4,0,1,1,1,0,0,0,3,3,2,2,0,0,0,0
'GRAHAGR01',207,2530,938,59,160,219,201,128,12,179,213,813,331,293,227,169,49,0
'GRAHAMA01',100,889,327,0,0,118,75,0,0,0,150,327,130,102,67,0,0,0
'GRAHAOR01',7,22,8,8,3,11,0,0,0,2,6,10,3,4,2,0,0,0
'GRAHAPA01',179,3354,1499,137,296,433,352,186,32,216,389,1299,582,318,235,295,100,0
'GRANDJI01',26,168,79,20,30,50,8,2,8,11,33,58,30,21,10,17,9,0
'GRANDRO01',105,872,254,73,90,163,58,31,6,51,108,208,84,115,82,24,4,0
'GRANGST01',80,996,316,15,63,78,173,33,1,91,127,297,123,89,66,17,4,0
'GRANTBR01',735,21167,7872,1682,3883,5565,916,450,558,1228,2364,6267,3076,2298,1714,28,6,0
'GRANTBU01',96,0,249,0,0,115,90,0,0,0,142,299,95,100,59,0,0,0
'GRANTGA01',552,12602,4368,347,936,1283,3013,821,69,1268,1200,4140,1864,702,545,342,95,0
'GRANTGR01',274,3350,767,64,184,248,751,161,8,231,282,820,314,138,98,146,41,0
'GRANTHA01',783,20510,7781,1170,2265,3435,1219,599,427,714,1768,7138,3345,1448,1026,243,65,0
'GRANTHO01',1165,38623,12996,3362,6081,9443,2575,1143,1136,1303,2832,10695,5439,3053,2114,63,4,1
'GRANTJO01',53,382,157,27,62,89,24,18,8,30,62,146,59,29,22,61,17,0
'GRANTPA01',16,111,29,8,10,18,3,2,1,9,21,29,13,8,3,0,0,0
'GRANTTR01',33,153,125,0,0,52,7,0,0,0,19,116,51,26,23,0,0,0
'GRATEDO01',2,0,4,0,0,0,3,0,0,0,3,6,1,2,2,0,0,0
'GRAVEBU01',4,11,5,0,2,2,1,1,0,1,4,6,2,5,1,1,0,0
'GRAYDE01',27,173,67,17,22,39,7,9,3,9,33,63,23,34,21,0,0,0
'GRAYED01',60,809,373,16,57,73,46,27,12,59,103,384,130,102,83,88,30,0
'GRAYEJE01',438,8277,3257,574,720,1294,635,271,65,484,732,2925,1336,829,550,137,35,0
'GRAYEV01',5,42,13,1,2,3,2,1,0,3,5,15,4,4,4,4,1,0
'GRAYGA01',44,276,105,0,0,23,26,0,0,0,48,134,49,10,7,0,0,0
'GRAYLE01',224,6058,2408,326,843,1169,490,196,91,0,825,2196,1030,471,348,0,0,0
'GRAYST01',386,3457,906,309,711,1020,148,64,133,243,645,758,338,347,230,7,0,0
'GRAYSY01',55,1220,440,117,169,286,117,36,25,102,144,398,167,156,105,4,1,0
'GRAYWY01',67,0,363,0,0,0,50,0,0,0,121,513,145,128,73,0,0,0
'GREACBO01',43,335,111,0,0,65,40,0,0,0,56,121,45,35,21,0,0,0
'GREENAC01',1278,36555,12331,3354,6119,9473,1400,1033,545,1434,2436,9202,4544,4250,3119,489,124,1
'GREENDA01',823,23370,8428,1921,4616,6537,1614,583,739,1474,2605,6812,3251,2514,1922,29,4,0
'GREENJE01',25,329,122,0,0,83,11,0,0,0,66,103,40,58,42,0,0,0
'GREENJO01',1057,24624,12281,0,0,9083,1449,0,0,0,2856,10091,4973,4226,2335,0,0,1
'GREENKE01',60,625,265,33,68,101,16,9,11,50,61,262,108,68,49,1,0,0
'GREENKE02',7,72,31,12,15,27,2,4,0,1,8,27,13,9,5,0,0,0
'GREENLA01',345,6168,1806,85,265,2186,247,32,38,0,864,1738,754,452,298,0,0,0
'GREENLI01',148,1189,423,24,51,75,182,49,6,78,124,343,144,200,133,26,2,0
'GREENLU01',5,32,3,0,0,3,0,0,0,0,3,11,0,9,3,0,0,0
'GREENMI01',245,5410,2062,487,842,1329,340,125,372,230,679,1808,832,563,398,2,0,1
'GREENRI01',946,23271,8870,474,1345,1819,5221,1348,51,1583,1452,7669,3594,2035,1643,188,39,1
'GREENSE01',84,671,352,36,49,85,45,33,13,63,63,396,153,50,31,61,15,0
'GREENSI01',504,13132,4636,0,0,2152,1655,0,0,0,1421,4481,1732,1735,1172,0,0,0
'GREENSI02',679,13247,5080,1300,2828,4128,635,369,220,1038,1797,4386,1993,1481,1093,27,1,0
'GREENST01',153,1632,705,132,168,300,97,71,17,40,263,641,281,203,143,0,0,0
'GREENTO01',59,809,232,20,48,68,140,61,6,89,111,237,92,63,48,0,0,0
'GREENWI01',110,1832,801,38,160,198,153,60,11,134,204,780,298,206,156,166,49,0
'GREERHA01',1122,39788,21586,0,0,5665,4540,0,0,0,3855,18811,8504,5717,4578,0,0,1
'GREGOCL01',25,315,136,39,58,97,16,10,13,24,38,136,62,36,12,1,0,0
'GREGOGA01',287,7309,2878,0,0,2033,427,0,0,0,729,2929,1266,484,346,0,0,0
'GREIGJO01',9,26,19,2,4,6,0,0,1,2,4,13,7,6,5,0,0,0
'GREKINO01',1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
'GREVEKE01',672,15246,7364,590,1004,1594,1247,392,112,748,1286,6670,2915,1701,1389,434,145,0
'GRIFFAD01',336,5857,1480,318,799,1117,478,336,44,233,660,1385,596,311,238,172,50,0
'GRIFFDA01',765,21403,12391,780,1739,2519,1627,931,242,1632,1689,11305,5237,1961,1387,1596,530,0
'GRIFFED01',220,5280,1833,286,1044,1330,192,92,363,178,373,1866,717,258,178,669,221,0
'GRIFFGR01',36,422,145,44,59,103,24,16,0,39,56,169,61,36,23,0,0,0
'GRIFFPA01',480,10053,2443,894,1756,2650,1116,403,248,638,1400,1657,837,1111,769,0,0,0
'GRIGSCH01',7,45,16,0,0,11,7,0,0,0,9,19,7,8,2,0,0,0
'GRIMMDE01',9,46,14,0,4,4,0,3,1,3,6,14,4,2,2,12,4,0
'GRIMSGE01',21,0,61,0,0,0,1,0,0,0,25,56,20,44,21,0,0,0
'GROATDI01',26,663,309,0,0,86,69,0,0,0,90,272,100,138,109,0,0,0
'GROSSBO01',513,12575,4567,940,1313,2253,1481,615,361,729,1484,3629,1857,1062,848,28,5,0
'GROTEJE01',11,33,14,0,0,4,4,0,0,0,5,11,6,2,2,0,0,0
'GROZAAL01',130,0,2925,0,0,709,318,0,0,0,458,2136,1013,1189,899,0,0,1
