@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'ANIELDO01',1,10,3,0,0,2,0,0,0,0,0,4,0,4,3,0,0,0
'ANSLEMI01',149,2143,1026,311,310,621,67,51,24,85,284,746,383,360,260,0,0,0
'ANSTECH01',155,2157,813,178,356,534,127,78,65,147,373,734,303,269,203,29,4,0
'ANTHOCA01',157,5603,3283,324,600,924,421,165,71,471,454,2695,1154,1098,864,372,111,0
'ANTHOGR01',757,15848,5497,262,1155,1417,2997,887,79,1043,1324,4749,1914,1445,1059,1748,610,0
'ARAUJRA01',59,736,196,59,126,185,16,21,8,52,157,175,76,55,43,3,1,0
'ARCENST01',7,110,50,0,0,32,4,0,0,0,10,56,22,13,6,0,0,0
'ARCHINA01',876,31159,16481,344,1015,2046,6476,719,81,1123,2002,12628,5899,5760,4664,85,19,1
'ARCHIRO01',44,328,51,27,42,69,16,14,6,17,59,53,15,49,21,0,0,0
'ARDJI01',218,2666,771,241,579,820,149,43,96,14,384,831,300,246,171,0,0,0
'ARENAGI01',264,9363,5124,235,915,1150,1374,435,63,855,796,4001,1697,1585,1252,1321,478,0
'ARIZATR01',80,1382,468,89,153,242,85,70,18,73,150,389,172,174,121,13,3,0
'ARIZIPA01',713,24897,16266,0,0,6129,1665,0,0,0,2764,13354,5628,6189,5010,0,0,1
'ARLAUJO01',9,85,34,6,7,13,8,3,4,4,16,43,14,8,6,0,0,0
'ARMSTBJ01',747,17790,7320,192,1129,1321,2479,533,47,889,1128,5981,2850,1383,1184,1025,436,1
'ARMSTBO01',19,110,28,0,0,39,3,0,0,0,13,37,11,12,6,0,0,0
'ARMSTBR01',108,699,239,17,46,63,24,22,4,37,83,287,101,20,12,75,25,0
'ARMSTDA01',647,17470,7002,534,1452,1986,3044,1008,87,1381,1172,5891,2424,1514,1337,2432,817,0
'ARMSTPA01',153,0,1040,0,0,89,358,0,0,0,456,1176,347,500,346,0,0,0
'ARMSTTA01',92,975,350,31,57,88,105,33,0,79,64,350,159,40,32,0,0,0
'ARNELJE01',31,409,147,0,0,170,18,0,0,0,60,164,52,69,43,0,0,0
'ARNETJA01',114,1177,424,0,0,116,139,0,0,0,233,447,163,129,98,0,0,0
'ARNZEBO01',55,594,301,0,0,152,24,0,0,0,54,277,128,52,45,0,0,0
'ARROYCA01',196,3802,1494,80,239,319,701,123,10,302,345,1323,562,402,321,155,49,0
'ARTESRO01',352,11568,5073,330,1335,1665,1049,735,229,807,1093,4287,1794,1624,1176,979,309,1
'ARTHUJO01',11,86,35,0,0,14,17,0,0,0,15,35,12,15,11,0,0,0
'ASKEWVI01',467,9361,3313,400,776,1176,1017,304,106,503,972,2534,1215,1070,807,253,76,0
'ASKINKE01',486,7983,1852,525,903,1428,375,278,170,321,1094,1688,677,311,223,774,275,0
'ASMONDO01',7,46,5,0,0,1,5,0,0,0,12,15,2,1,1,0,0,0
'ATHARI01',43,448,137,0,0,66,51,0,0,0,63,135,53,39,31,0,0,0
'ATKINCH01',453,12119,4825,113,730,843,1655,336,27,739,888,4342,1810,732,546,1776,659,0
'ATTLEAL01',711,17826,6328,0,0,2463,2483,0,0,0,2417,5545,2499,2106,1330,0,0,0
'AUBUCCH01',30,0,65,0,0,0,20,0,0,0,46,91,23,35,19,0,0,0
'AUGMOST01',965,21270,7919,1247,1916,3163,1538,962,311,1237,1710,6407,3012,2586,1883,79,12,0
'AUSTIIS01',432,8350,3285,616,1414,2030,538,214,226,701,967,2901,1295,1024,686,51,9,0
'AUSTIJO01',4,61,23,0,0,7,4,0,0,0,12,22,5,16,13,0,0,0
'AUSTIKE01',7,28,12,2,1,3,1,1,1,3,7,13,6,0,0,0,0,0
'AVENTAN01',352,6729,1958,560,1024,1584,278,166,211,416,824,2019,814,481,330,2,0,0
'AVERIWI01',130,2221,1085,37,124,161,330,69,14,143,250,1103,432,310,221,0,0,0
'AVERYWI01',142,1205,379,14,79,93,199,34,6,106,125,415,137,91,65,157,40,0
'AWTREDE01',733,14159,3516,703,1514,3342,1467,186,182,245,1702,3009,1382,1154,752,0,0,0
'BABICMI01',21,87,37,8,12,20,10,2,1,10,7,32,12,20,13,0,0,0
'BACHJO01',34,0,119,0,0,0,25,0,0,0,24,119,34,75,51,0,0,0
'BAECHJI01',321,8256,3123,0,0,1009,685,0,0,0,795,2876,1117,1135,889,0,0,0
'BAGARDA01',95,975,251,37,201,238,37,29,43,72,163,269,97,102,57,2,0,0
'BAGLEJO01',665,17120,5802,413,1316,1729,3980,755,54,1512,1090,5398,2359,1245,970,473,114,0
'BAILECA01',1,7,2,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0
'BAILEGU01',147,1346,389,95,149,244,168,56,43,45,150,384,156,149,76,1,1,0
'BAILEJA01',595,11625,5246,1010,1978,2988,488,305,521,1057,1978,4228,2045,1644,1155,13,1,0
'BAILETH01',928,24873,11834,1304,3414,4718,1298,435,1086,1444,1843,10056,4753,2863,2324,35,4,0
'BAILETO01',73,698,241,50,76,126,43,22,6,35,79,226,92,78,54,15,3,0
'BAKERMA01',1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
'BAKERMA02',5,19,0,1,1,2,1,1,0,1,3,1,0,0,0,0,0,0
'BAKERNO01',4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
'BAKERVI01',783,25653,11812,2159,3689,5848,1504,578,793,1747,2548,9660,4685,3769,2403,181,39,1
'BALLAGR01',802,22073,9953,1434,3424,4858,1733,877,256,1059,1807,8942,4220,1805,1420,275,93,0
'BALLCE01',7,26,8,5,6,11,0,0,2,2,5,8,3,2,2,0,0,0
'BALTIHE01',58,0,138,0,0,0,16,0,0,0,98,263,53,69,32,0,0,0
'BANKSGE01',468,13074,5305,1009,1709,2718,1335,436,101,835,1289,3961,2134,1418,1035,46,2,0
'BANKSMA01',162,2530,852,59,200,259,330,151,26,204,317,728,292,294,220,145,48,0
'BANNIKE01',253,3867,1501,276,617,893,111,109,80,347,669,1202,586,669,329,4,0,0
'BANTOMI01',706,19725,8568,1632,2885,4517,1623,630,478,946,2489,7362,3446,2418,1673,15,3,0
'BARBEJO01',5,5,7,0,0,6,0,0,0,0,4,8,2,6,3,0,0,0
'BARBOLE01',133,2587,992,55,198,253,291,123,14,207,311,824,378,130,102,349,134,0
'BARDOST01',33,299,73,13,47,60,44,12,4,22,45,85,28,23,16,10,1,0
'BARKECL01',149,494,557,0,0,181,294,0,0,0,253,637,201,234,155,0,0,0
'BARKETO01',98,1830,639,156,364,520,75,43,52,34,299,592,250,201,139,0,0,0
'BARKLCH01',1073,39330,23757,4260,8286,12546,4215,1648,888,3376,3287,15605,8435,8643,6349,2020,538,1
'BARKLER01',27,266,77,4,17,21,40,19,1,17,31,90,32,10,9,15,4,0
'BARKSDO01',262,7460,2895,0,0,2088,549,0,0,0,941,2747,1016,1307,863,0,0,1
'BARNEDI01',971,28937,15358,1,3,2812,2729,1,0,0,2514,13227,6034,4324,3290,0,0,1
'BARNEHA01',22,126,43,0,0,26,5,0,0,0,25,64,18,13,7,0,0,0
'BARNEJI01',454,9455,3997,0,0,2939,377,0,0,0,1497,3607,1548,1317,901,0,0,0
'BARNEJI02',732,17410,8536,191,312,2259,2232,131,30,0,1573,7642,3326,2363,1884,0,0,0
'BARNEMA01',171,3718,1569,295,651,946,252,145,167,222,576,1444,638,436,293,0,0,1
'BARNEMA02',81,1433,335,102,182,284,105,57,10,89,156,289,125,119,78,35,7,0
'BARNHJO01',426,10054,3648,0,0,1193,1205,0,0,0,751,3583,1490,1026,668,0,0,0
'BARNHLE01',344,7279,3232,0,0,1506,1116,0,0,0,1033,3689,1356,782,520,0,0,1
'BARNHNO01',4,10,4,2,1,3,1,0,0,0,5,6,2,0,0,0,0,0
'BARREAN01',38,483,118,11,29,40,69,19,1,27,51,124,45,19,14,52,14,0
'BARREER01',131,2092,641,0,0,343,229,0,0,0,300,724,267,143,107,0,0,0
'BARRJO01',58,0,295,0,0,0,54,0,0,0,164,438,124,79,47,0,0,0
'BARRMI01',73,1224,285,33,97,130,175,52,18,0,96,279,122,57,41,0,0,0
'BARRODA01',850,19481,8901,231,1378,1609,2837,740,46,1213,1074,7148,3281,1456,1249,2652,1090,1
'BARRTH01',31,145,61,0,0,20,28,0,0,0,27,62,25,13,11,0,0,0
'BARRYBR01',676,19340,6993,339,1973,2312,2499,819,208,1110,1479,5199,2391,1365,1121,2710,1090,0
'BARRYDR01',60,598,134,8,59,67,111,19,2,55,75,103,43,31,24,63,24,0
'BARRYJO01',801,13537,4629,289,1193,1482,1758,709,110,786,991,3607,1570,994,844,1644,645,0
'BARRYRI01',794,28825,18395,510,2366,5168,4017,1104,269,574,2264,16163,7252,4243,3818,221,73,1
'BARTEED01',32,0,135,0,0,84,32,0,0,0,83,183,46,80,43,0,0,0
'BARTOVI01',38,165,34,0,0,60,3,0,0,0,22,59,15,5,4,0,0,0
'BASKEJE01',21,105,26,13,15,28,3,6,5,0,32,26,8,16,10,0,0,0
'BASSETI01',235,5588,1390,502,994,1496,285,209,115,192,673,1470,570,420,250,0,0,0
'BASTOMA01',16,106,40,4,19,23,0,4,11,6,16,25,15,12,10,0,0,0
'BATEEME01',46,494,156,2,112,114,27,11,5,40,118,156,61,39,29,15,5,0
'BATESBI01',187,3328,2197,148,165,313,352,151,16,274,265,1885,893,471,375,119,36,0
'BATISMI01',75,1248,481,82,175,257,52,42,16,69,120,467,197,88,69,81,18,0
'BATTISH01',315,9943,3342,435,1044,1479,548,415,304,354,810,2686,1200,820,618,855,324,0
'BATTITO01',532,11853,3479,898,2121,3019,376,306,566,490,1552,2965,1451,816,570,50,7,0
'BATTLJO01',612,10910,5338,178,646,824,1257,273,43,659,874,4430,2054,1472,1168,227,62,0
'BATTLKE01',134,1795,627,138,189,327,106,98,31,91,214,482,243,189,137,30,4,0
'BATTODA01',58,589,188,46,77,123,32,15,16,32,61,201,90,17,8,3,0,0
'BAUMHFR01',45,0,631,0,0,0,54,0,0,0,93,856,255,156,121,0,0,0
'BAUMJO01',65,556,292,0,0,129,31,0,0,0,56,304,126,58,40,0,0,0
'BAXTELO01',121,1484,519,133,216,349,36,26,51,88,268,426,202,181,114,5,1,0
'BAYLOEL01',846,33863,23149,0,0,11463,3650,0,0,0,2596,20171,8693,7391,5763,0,0,1
'BAZARSE01',10,74,30,1,6,7,14,1,1,7,10,22,11,9,7,6,1,0
'BEACHED01',12,0,22,0,0,25,3,0,0,0,14,38,8,9,6,0,0,0
'BEARDBU01',605,14283,5622,482,970,2042,2189,499,36,164,1581,4495,2187,1619,1248,0,0,1
'BEARDRA01',126,0,2006,0,0,251,551,0,0,0,228,2046,749,660,508,0,0,1
'BEASLJE01',2,5,2,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0
'BEATYZE01',570,18348,9107,93,234,5949,839,45,29,0,2132,7237,3396,3087,2315,0,0,1
'BECKBY01',53,480,250,45,51,96,33,15,1,0,59,246,107,44,36,0,0,1
'BECKCO01',88,951,241,36,89,125,123,43,9,87,134,206,93,76,52,5,3,0
'BECKEMO01',43,0,162,0,0,0,30,0,0,0,98,358,70,44,22,0,0,0
'BECKER01',371,7054,2325,0,0,1191,669,0,0,0,667,2425,929,613,467,0,0,0
'BEDFOWI01',238,2514,964,201,372,573,109,37,126,173,358,974,405,243,147,22,7,0
'BEENDHA01',111,0,935,0,0,0,53,0,0,0,304,1313,348,348,239,0,0,0
'BEHAGRO01',388,9131,3977,888,1824,2712,624,290,160,189,1293,3750,1594,1047,789,0,0,0
'BEHNKEL01',4,55,16,0,0,17,4,0,0,0,13,22,6,7,4,0,0,0
'BELLAWA01',1043,38940,20941,264,481,14241,2544,52,48,0,3536,15340,7914,8088,5113,0,0,1
'BELLCH01',7,44,8,2,3,5,2,0,0,5,3,11,3,2,2,6,0,0
'BELLDE01',63,545,175,52,67,119,28,28,10,0,65,203,76,43,23,0,0,0
'BELLRA01',299,5901,2176,167,532,699,326,181,33,283,710,1930,830,480,366,398,150,0
'BELLTR01',6,34,11,3,1,4,4,1,0,6,6,18,4,3,3,4,0,0
'BELLWI01',36,494,183,0,0,94,56,0,0,0,66,203,77,46,29,0,0,0
'BEMORIR01',131,2479,827,0,0,341,125,0,0,0,228,890,309,311,209,0,0,0
'BENBOLE01',115,1838,628,79,135,214,183,73,17,0,227,645,254,158,120,0,0,0
'BENDEJO01',235,3533,1325,87,439,526,152,41,151,230,356,1116,465,410,308,258,87,0
'BENJABE01',807,21911,9223,1459,4604,6063,1070,522,1581,1847,2292,7224,3588,2837,2046,21,1,0
'BENJACO01',153,2191,835,84,175,259,143,71,48,164,316,812,317,221,144,197,57,0
'BENNEEL01',21,159,48,1,9,10,22,9,1,20,16,47,16,18,13,11,3,0
'BENNEMA01',68,606,269,84,98,182,24,31,22,33,112,208,111,90,46,3,1,0
'BENNEME01',129,1532,498,193,233,426,107,52,51,65,267,439,152,319,194,2,0,0
'BENNETO01',152,1886,538,28,127,155,303,69,1,93,200,536,221,56,41,164,55,0
'BENNEWI01',136,2157,648,177,237,414,120,50,21,115,305,604,257,193,134,1,0,0
'BENOIDA01',492,9314,3455,576,1408,1984,287,216,246,424,1021,3051,1335,722,574,661,211,0
'BENSOKE01',680,15719,6168,1216,2665,3881,1203,605,586,1069,1935,5224,2578,1327,1005,34,7,0
'BERCEGE01',3,0,10,0,0,0,2,0,0,0,6,16,5,5,0,0,0,0
